0:15D-TEMPS,1:15D-NNO,2:21A-TEMP,3:21A-NNO
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
0,0.00,0.00,0.00
